Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
184,1:45.91,Boris KAVESHNIKOV,30 SEP 1974,RUS,8,,St-Denis (FRA),06 JUL 2001,1146,/athletes/athlete=14222573
186,1:45.92,Michael ROTICH,14 JUL 1978,KEN,4,,Formia (ITA),14 JUL 2001,1146,/athletes/athlete=14209673
187,1:45.93,Tom OMEY,24 APR 1975,BEL,4,,Papendal (NED),04 JUL 2001,1145,/athletes/athlete=14177389
187,1:45.93,Hezekiel SEPENG,30 JUN 1974,RSA,2h1,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1145,/athletes/athlete=14221123
187,1:45.93,Adem HACINI,13 DEC 1975,ALG,6,,Rovereto (ITA),29 AUG 2001,1145,/athletes/athlete=14180751
190,1:45.94,Norberto TÉLLEZ,23 DEC 1972,CUB,1,,Kassel (GER),13 JUN 2001,1145,/athletes/athlete=14169292
190,1:45.94,Paweł CZAPIEWSKI,30 MAR 1978,POL,4,,Nürnberg (GER),17 JUN 2001,1145,/athletes/athlete=14216511
192,1:45.95,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,Stellenbosch (RSA),30 MAR 2001,1145,/athletes/athlete=14220770
193,1:45.97,Grzegorz KRZOSEK,10 JAN 1976,POL,3,,Bydgoszcz (POL),15 JUN 2001,1144,/athletes/athlete=14216992
193,1:45.97,Arthémon HATUNGIMANA,21 JAN 1974,BDI,3h1,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1144,/athletes/athlete=14177807
193,1:45.97,Nicholas WACHIRA,19 NOV 1982,KEN,4h5,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1144,/athletes/athlete=14209935
193,1:45.97,Hezekiel SEPENG,30 JUN 1974,RSA,4sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1144,/athletes/athlete=14221123
193,1:45.97,Noah NGENY,02 NOV 1978,KEN,1,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1144,/athletes/athlete=14209412
198,1:45.98,Glody DUBE,02 JUL 1978,BOT,7f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1144,/athletes/athlete=14176357
199,1:46.00,Henry ROTICH,05 DEC 1981,KEN,1,,Tartu (EST),19 JUN 2001,1143,/athletes/athlete=14209657
199,1:46.00,Nicholas WACHIRA,19 NOV 1982,KEN,8,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1143,/athletes/athlete=14209935
,,,,,,,,,,
199,1:46.00,Antonio Manuel REINA,13 JUN 1981,ESP,1,,San Sebastián (ESP),18 AUG 2001,1143,/athletes/athlete=14165281
202,1:46.01,Derrick PETERSON,28 NOV 1977,USA,6,,"Eugene, OR (USA)",27 MAY 2001,1143,/athletes/athlete=14248336
203,1:46.02,Dmitriy BOGDANOV,11 APR 1979,RUS,2,,Lapinlahti (FIN),22 JUL 2001,1143,/athletes/athlete=14221856
203,1:46.02,Adem HACINI,13 DEC 1975,ALG,6sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1143,/athletes/athlete=14180751
205,1:46.03,Bryan BERRYHILL,15 DEC 1977,USA,1,,"San Diego, CA (USA)",19 MAY 2001,1142,/athletes/athlete=14232538
205,1:46.03,Derrick PETERSON,28 NOV 1977,USA,1,,"Palo Alto, CA (USA)",09 JUN 2001,1142,/athletes/athlete=14248336
205,1:46.03,Jess STRUTZEL,04 JAN 1978,USA,3,,Heusden-Zolder (BEL),14 JUL 2001,1142,/athletes/athlete=14252474
205,1:46.03,Paul MCMULLEN,19 FEB 1972,USA,7,,Leverkusen (GER),26 AUG 2001,1142,/athletes/athlete=14245773
209,1:46.04,Khadevis ROBINSON,19 JUL 1976,USA,1,,"Portland, OR (USA)",03 JUN 2001,1142,/athletes/athlete=14249779
209,1:46.04,Osmar BARBOSA DOS SANTOS,20 OCT 1968,BRA,1,,Nuoro (ITA),11 JUL 2001,1142,/athletes/athlete=14176249
211,1:46.05,Joel MARWA,30 AUG 1974,KEN,3,,Doha (QAT),18 MAY 2001,1142,/athletes/athlete=14209033
211,1:46.05,Otukile LEKOTE,19 OCT 1978,BOT,2,,"Palo Alto, CA (USA)",09 JUN 2001,1142,/athletes/athlete=14176338
211,1:46.05,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3h3,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1142,/athletes/athlete=14220770
214,1:46.08,Michael ROTICH,14 JUL 1978,KEN,6,,Nairobi (KEN),22 JUN 2001,1141,/athletes/athlete=14209673
215,1:46.10,Adem HACINI,13 DEC 1975,ALG,3,,Thessaloniki (GRE),22 AUG 2001,1140,/athletes/athlete=14180751
216,1:46.12,Zachary WHITMARSH,05 APR 1977,CAN,1,,Victoria (CAN),25 MAY 2001,1140,/athletes/athlete=14173311
217,1:46.13,Otukile LEKOTE,19 OCT 1978,BOT,1,,"Athens, GA (USA)",31 MAR 2001,1139,/athletes/athlete=14176338
218,1:46.14,Wilfred BUNGEI,24 JUL 1980,KEN,4,,Rehlingen (GER),04 JUN 2001,1139,/athletes/athlete=14207448
218,1:46.14,Trinity GRAY,19 APR 1978,USA,2,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1139,/athletes/athlete=14239214
220,1:46.15,Kris MCCARTHY,15 OCT 1979,AUS,5,,Beijing (CHN),01 SEP 2001,1139,/athletes/athlete=14179207
221,1:46.16,Jimmy LOMBA,30 JUN 1978,FRA,9,,St-Denis (FRA),06 JUL 2001,1138,/athletes/athlete=14186108
221,1:46.16,David KIPTOO SINGOEI,25 JUN 1965,KEN,1,,"Crystal Palace, London (GBR)",22 JUL 2001,1138,/athletes/athlete=14208505
223,1:46.17,Kennedy KIMWETICH,1973,KEN,3,,Patra (GRE),22 JUL 2001,1138,/athletes/athlete=14208154
224,1:46.21,Joeri JANSEN,28 MAY 1979,BEL,5,,Nürnberg (GER),17 JUN 2001,1137,/athletes/athlete=14177492
224,1:46.21,Kris MCCARTHY,15 OCT 1979,AUS,4,,Heusden-Zolder (BEL),14 JUL 2001,1137,/athletes/athlete=14179207
224,1:46.21,Wilfred BUNGEI,24 JUL 1980,KEN,8,,Stockholm (SWE),17 JUL 2001,1137,/athletes/athlete=14207448
224,1:46.21,Francis MARWA,1976,KEN,7,,Rovereto (ITA),29 AUG 2001,1137,/athletes/athlete=14209032
228,1:46.22,Marko KOERS,03 NOV 1972,NED,4,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1137,/athletes/athlete=14214090
229,1:46.23,Assane DIALLO,10 FEB 1975,SEN,1,,Funchal (POR),30 JUN 2001,1136,/athletes/athlete=14224786
230,1:46.24,William YIAMPOY,17 MAY 1974,KEN,4,,Doha (QAT),18 MAY 2001,1136,/athletes/athlete=14210002
230,1:46.24,Khalid TIGHAZOUINE,18 JUN 1977,MAR,6,,Milano (ITA),06 JUN 2001,1136,/athletes/athlete=14212499
230,1:46.24,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1136,/athletes/athlete=14220770
233,1:46.25,Sergey KOZHEVNIKOV,12 MAY 1970,RUS,2,,Tula (RUS),15 JUL 2001,1136,/athletes/athlete=14222824
234,1:46.26,Khadevis ROBINSON,19 JUL 1976,USA,3,,"Palo Alto, CA (USA)",09 JUN 2001,1135,/athletes/athlete=14249779
235,1:46.27,Bram SOM,20 FEB 1980,NED,5,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1135,/athletes/athlete=14214387
235,1:46.27,Willy ROTICH,23 MAR 1976,KEN,3,,Lapinlahti (FIN),22 JUL 2001,1135,/athletes/athlete=14209687
237,1:46.28,Glody DUBE,02 JUL 1978,BOT,4,,Oslo (NOR),13 JUL 2001,1135,/athletes/athlete=14176357
237,1:46.28,Trinity GRAY,19 APR 1978,USA,4,,Thessaloniki (GRE),22 AUG 2001,1135,/athletes/athlete=14239214
239,1:46.29,Joeri JANSEN,28 MAY 1979,BEL,4,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1134,/athletes/athlete=14177492
240,1:46.32,Fred ONYANCHA,25 DEC 1969,KEN,5,,Doha (QAT),18 MAY 2001,1134,/athletes/athlete=14209565
240,1:46.32,Assane DIALLO,10 FEB 1975,SEN,1,,Lisboa (POR),16 JUN 2001,1134,/athletes/athlete=14224786
242,1:46.33,Tom OMEY,24 APR 1975,BEL,5,,Heusden-Zolder (BEL),14 JUL 2001,1133,/athletes/athlete=14177389
243,1:46.34,João PIRES,10 JUN 1979,POR,2,,Lisboa (POR),16 JUN 2001,1133,/athletes/athlete=14218469
244,1:46.36,Japheth KIMUTAI,20 DEC 1978,KEN,1,,Ingolstadt (GER),27 MAY 2001,1132,/athletes/athlete=14208141
244,1:46.36,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Valencia (ESP),08 JUL 2001,1132,/athletes/athlete=14209288
244,1:46.36,Jess STRUTZEL,04 JAN 1978,USA,4,,Lapinlahti (FIN),22 JUL 2001,1132,/athletes/athlete=14252474
247,1:46.37,Khalid TIGHAZOUINE,18 JUN 1977,MAR,1sf1,,Beijing (CHN),31 AUG 2001,1132,/athletes/athlete=14212499
248,1:46.38,Paul KORIR,15 JUL 1977,KEN,6,,Doha (QAT),18 MAY 2001,1132,/athletes/athlete=14208716
248,1:46.38,Nico MOTCHEBON,13 NOV 1969,GER,2,,Kassel (GER),13 JUN 2001,1132,/athletes/athlete=14193428
250,1:46.39,Hezekiel SEPENG,30 JUN 1974,RSA,2,,Durban (RSA),04 MAR 2001,1131,/athletes/athlete=14221123
250,1:46.39,Bram SOM,20 FEB 1980,NED,1,,Nijmegen (NED),24 MAY 2001,1131,/athletes/athlete=14214387
250,1:46.39,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2,,San Sebastián (ESP),18 AUG 2001,1131,/athletes/athlete=14177807
253,1:46.40,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Torino (ITA),09 JUN 2001,1131,/athletes/athlete=14207448
253,1:46.40,Arnoud OKKEN,20 APR 1982,NED,2sf1,,Beijing (CHN),31 AUG 2001,1131,/athletes/athlete=14214233
255,1:46.41,Kris MCCARTHY,15 OCT 1979,AUS,1h1,,Brisbane (AUS),23 MAR 2001,1131,/athletes/athlete=14179207
255,1:46.41,Grant CREMER,09 JUN 1978,AUS,8f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1131,/athletes/athlete=14179880
257,1:46.42,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,5sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1131,/athletes/athlete=14177791
257,1:46.42,Osmar BARBOSA DOS SANTOS,20 OCT 1968,BRA,3,,San Sebastián (ESP),18 AUG 2001,1131,/athletes/athlete=14176249
259,1:46.43,Marvin WATTS,21 MAY 1975,JAM,5h5,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1130,/athletes/athlete=14202304
260,1:46.44,Derrick PETERSON,28 NOV 1977,USA,2,,"Portland, OR (USA)",03 JUN 2001,1130,/athletes/athlete=14248336
260,1:46.44,Adem HACINI,13 DEC 1975,ALG,6,,Nürnberg (GER),17 JUN 2001,1130,/athletes/athlete=14180751
260,1:46.44,Paweł CZAPIEWSKI,30 MAR 1978,POL,1,,Bydgoszcz (POL),30 JUN 2001,1130,/athletes/athlete=14216511
263,1:46.46,David KRUMMENACKER,24 MAY 1975,USA,4,,"Palo Alto, CA (USA)",09 JUN 2001,1129,/athletes/athlete=14243399
263,1:46.46,David KIPTOO SINGOEI,25 JUN 1965,KEN,5,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1129,/athletes/athlete=14208505
263,1:46.46,Bram SOM,20 FEB 1980,NED,6,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1129,/athletes/athlete=14214387
263,1:46.46,Otukile LEKOTE,19 OCT 1978,BOT,3sf1,,Beijing (CHN),31 AUG 2001,1129,/athletes/athlete=14176338
267,1:46.48,Lucky HADEBE,02 JAN 1980,RSA,3,,Durban (RSA),04 MAR 2001,1129,/athletes/athlete=14220112
267,1:46.48,Nicolas AÏSSAT,24 JUL 1980,FRA,1,,La Chaux-de-Fonds (SUI),19 AUG 2001,1129,/athletes/athlete=14182806
269,1:46.49,Shawn ABRAHAMS,04 JUL 1970,RSA,4,,Durban (RSA),04 MAR 2001,1128,/athletes/athlete=14219629
269,1:46.49,Adem HACINI,13 DEC 1975,ALG,4,,San Sebastián (ESP),18 AUG 2001,1128,/athletes/athlete=14180751
269,1:46.49,William YIAMPOY,17 MAY 1974,KEN,1,,Brisbane (AUS),05 SEP 2001,1128,/athletes/athlete=14210002
272,1:46.50,Anthony KABARA,09 MAR 1978,KEN,3,,"Portland, OR (USA)",03 JUN 2001,1128,/athletes/athlete=14207766
273,1:46.51,Norberto TÉLLEZ,23 DEC 1972,CUB,1,,Ciudad de Guatemala (GUA),22 JUL 2001,1128,/athletes/athlete=14169292
273,1:46.51,Adem HACINI,13 DEC 1975,ALG,4,,Patra (GRE),22 JUL 2001,1128,/athletes/athlete=14180751
275,1:46.52,David LELEI,10 MAY 1971,KEN,5,,Oslo (NOR),13 JUL 2001,1128,/athletes/athlete=14208865
276,1:46.53,Artem MASTROV,12 NOV 1976,RUS,3,,Tula (RUS),15 JUL 2001,1127,/athletes/athlete=14223162
276,1:46.53,Khalid TIGHAZOUINE,18 JUN 1977,MAR,1,,Ottawa (CAN),21 JUL 2001,1127,/athletes/athlete=14212499
276,1:46.53,Franck BARRÉ,15 JUL 1977,FRA,2,,La Chaux-de-Fonds (SUI),19 AUG 2001,1127,/athletes/athlete=14183093
279,1:46.54,Mouhssin CHEHIBI,28 JAN 1978,MAR,2,,Valencia (ESP),08 JUL 2001,1127,/athletes/athlete=14211969
279,1:46.54,Wilson KIRWA,28 DEC 1974,FIN,5,,Lapinlahti (FIN),22 JUL 2001,1127,/athletes/athlete=14182056
281,1:46.55,William CHIRCHIR,06 FEB 1979,KEN,1,,Hobart (AUS),11 MAR 2001,1127,/athletes/athlete=14207675
281,1:46.55,David KRUMMENACKER,24 MAY 1975,USA,7,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1127,/athletes/athlete=14243399
283,1:46.56,Djabir SAID-GUERNI,29 MAR 1977,ALG,2,,Torino (ITA),09 JUN 2001,1126,/athletes/athlete=14180636
283,1:46.56,Assane DIALLO,10 FEB 1975,SEN,3,,Valencia (ESP),08 JUL 2001,1126,/athletes/athlete=14224786
283,1:46.56,Paul KORIR,15 JUL 1977,KEN,5,,Thessaloniki (GRE),22 AUG 2001,1126,/athletes/athlete=14208716
286,1:46.57,Otukile LEKOTE,19 OCT 1978,BOT,1,,"Brunswick, ME (USA)",07 JUL 2001,1126,/athletes/athlete=14176338
287,1:46.58,Moise JOSEPH,27 DEC 1981,HAI,2,,"Columbia, SC (USA)",13 MAY 2001,1126,/athletes/athlete=14195812
287,1:46.58,João PIRES,10 JUN 1979,POR,6,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1126,/athletes/athlete=14218469
289,1:46.59,Henry ROTICH,05 DEC 1981,KEN,6,,Thessaloniki (GRE),22 AUG 2001,1125,/athletes/athlete=14209657
289,1:46.59,Dmitriy BOGDANOV,11 APR 1979,RUS,1,,Lahti (FIN),26 AUG 2001,1125,/athletes/athlete=14221856
291,1:46.60,Rui SILVA,03 AUG 1977,POR,1,,Lisboa (POR),20 MAY 2001,1125,/athletes/athlete=14218604
291,1:46.60,Bram SOM,20 FEB 1980,NED,4,,Helsinki (FIN),14 JUN 2001,1125,/athletes/athlete=14214387
291,1:46.60,Nathan BRANNEN,08 SEP 1982,CAN,2,,Edmonton (CAN),24 JUN 2001,1125,/athletes/athlete=14174555
291,1:46.60,Brent KNIGHT,23 JUN 1976,USA,2,,Montréal (CAN),10 JUL 2001,1125,/athletes/athlete=14243162
295,1:46.61,Jess STRUTZEL,04 JAN 1978,USA,1,,"Los Angeles, CA (USA)",12 MAY 2001,1125,/athletes/athlete=14252474
295,1:46.61,David KRUMMENACKER,24 MAY 1975,USA,4,,"Portland, OR (USA)",03 JUN 2001,1125,/athletes/athlete=14243399
295,1:46.61,Sylas KIMUTAI,12 OCT 1983,KEN,7,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1125,/athletes/athlete=14208149
298,1:46.62,Assane DIALLO,10 FEB 1975,SEN,1,,Laguna (ESP),14 JUL 2001,1125,/athletes/athlete=14224786
299,1:46.63,Mouhssin CHEHIBI,28 JAN 1978,MAR,2,,Ottawa (CAN),21 JUL 2001,1124,/athletes/athlete=14211969
299,1:46.63,Franek HASCHKE,28 MAR 1980,GER,8,,Leverkusen (GER),26 AUG 2001,1124,/athletes/athlete=14192409
,,,,,,,,,,
301,1:46.65,Sergio GALLARDO,22 MAR 1979,ESP,3,,Madrid (ESP),07 JUL 2001,1124,/athletes/athlete=14166498
301,1:46.65,Daryl FILLION,10 FEB 1973,CAN,3,,Montréal (CAN),10 JUL 2001,1124,/athletes/athlete=14174286
303,1:46.66,Antonio Manuel REINA,13 JUN 1981,ESP,1sf3,,Valencia (ESP),21 JUL 2001,1123,/athletes/athlete=14165281
304,1:46.68,Otukile LEKOTE,19 OCT 1978,BOT,1,,"Eugene, OR (USA)",01 JUN 2001,1123,/athletes/athlete=14176338
304,1:46.68,Hezekiel SEPENG,30 JUN 1974,RSA,8,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1123,/athletes/athlete=14221123
306,1:46.69,Adem HACINI,13 DEC 1975,ALG,7,,Doha (QAT),18 MAY 2001,1122,/athletes/athlete=14180751
307,1:46.70,Marko KOERS,03 NOV 1972,NED,2,,Nijmegen (NED),24 MAY 2001,1122,/athletes/athlete=14214090
307,1:46.70,Jess STRUTZEL,04 JAN 1978,USA,4sf1,,Beijing (CHN),31 AUG 2001,1122,/athletes/athlete=14252474
309,1:46.71,Stefan BEUMER,28 APR 1981,NED,3,,Nijmegen (NED),24 MAY 2001,1122,/athletes/athlete=14213682
309,1:46.71,José Antonio REDOLAT,17 FEB 1976,ESP,4,,Valencia (ESP),08 JUL 2001,1122,/athletes/athlete=14165284
309,1:46.71,André BUCHER,19 OCT 1976,SUI,1,,Melbourne (AUS),09 SEP 2001,1122,/athletes/athlete=14225866
312,1:46.72,André BUCHER,19 OCT 1976,SUI,1,,Vaasa (FIN),24 JUN 2001,1122,/athletes/athlete=14225866
313,1:46.73,Kris MCCARTHY,15 OCT 1979,AUS,1,,Perth (AUS),04 MAR 2001,1121,/athletes/athlete=14179207
313,1:46.73,Tom OMEY,24 APR 1975,BEL,4,,Nijmegen (NED),24 MAY 2001,1121,/athletes/athlete=14177389
313,1:46.73,Kennedy KIMWETICH,1973,KEN,4,,Poznan (POL),08 JUN 2001,1121,/athletes/athlete=14208154
316,1:46.74,Grant CREMER,09 JUN 1978,AUS,2,,"Crystal Palace, London (GBR)",22 JUL 2001,1121,/athletes/athlete=14179880
317,1:46.75,Nico MOTCHEBON,13 NOV 1969,GER,5,,Rehlingen (GER),04 JUN 2001,1121,/athletes/athlete=14193428
318,1:46.76,Andrea GIOCONDI,17 JAN 1969,ITA,7,,Milano (ITA),06 JUN 2001,1120,/athletes/athlete=14200466
319,1:46.77,Joel MARWA,30 AUG 1974,KEN,8,,Milano (ITA),06 JUN 2001,1120,/athletes/athlete=14209033
319,1:46.77,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,1,,Dortmund (GER),09 JUN 2001,1120,/athletes/athlete=14177791
319,1:46.77,Kris MCCARTHY,15 OCT 1979,AUS,5sf1,,Beijing (CHN),31 AUG 2001,1120,/athletes/athlete=14179207
322,1:46.78,Bram SOM,20 FEB 1980,NED,2,,Dortmund (GER),09 JUN 2001,1120,/athletes/athlete=14214387
322,1:46.78,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,Melbourne (AUS),09 SEP 2001,1120,/athletes/athlete=14221887
324,1:46.79,Michael ROTICH,14 JUL 1978,KEN,1,,Gdansk (POL),12 JUN 2001,1119,/athletes/athlete=14209673
324,1:46.79,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2,,Brisbane (AUS),05 SEP 2001,1119,/athletes/athlete=14177791
326,1:46.80,Daniel CAULFIELD,16 OCT 1972,IRL,5,,"Portland, OR (USA)",03 JUN 2001,1119,/athletes/athlete=14198788
326,1:46.80,Florent LACASSE,21 JAN 1981,FRA,3,,La Chaux-de-Fonds (SUI),19 AUG 2001,1119,/athletes/athlete=14185697
328,1:46.81,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Roodeport (RSA),17 MAR 2001,1119,/athletes/athlete=14220770
328,1:46.81,René HERMS,17 JUL 1982,GER,1,,Stuttgart (GER),01 JUL 2001,1119,/athletes/athlete=14192509
328,1:46.81,Valdinei Abilio DA SILVA,29 MAR 1972,BRA,1,,Rio de Janeiro (BRA),22 JUL 2001,1119,/athletes/athlete=14176030
328,1:46.81,René HERMS,17 JUL 1982,GER,9,,Leverkusen (GER),26 AUG 2001,1119,/athletes/athlete=14192509
332,1:46.82,David LELEI,10 MAY 1971,KEN,8,,"International Stadium, Gateshead (GBR)",19 AUG 2001,1119,/athletes/athlete=14208865
333,1:46.83,Gabe JENNINGS,25 JAN 1979,USA,1,,"Palo Alto, CA (USA)",13 MAY 2001,1118,/athletes/athlete=14241934
333,1:46.83,David KIPTOO SINGOEI,25 JUN 1965,KEN,5,,"Palo Alto, CA (USA)",09 JUN 2001,1118,/athletes/athlete=14208505
335,1:46.84,Juan Carlos HIGUERO,03 AUG 1978,ESP,1,,Cáceres (ESP),20 JUN 2001,1118,/athletes/athlete=14166157
335,1:46.84,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,8,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1118,/athletes/athlete=14177791
337,1:46.85,Tarik BOURROUAG,09 JUL 1976,GER,1,,Dessau (GER),30 MAY 2001,1118,/athletes/athlete=14191641
338,1:46.86,Ivan KOMAR,18 MAR 1970,BLR,4,,Bydgoszcz (POL),15 JUN 2001,1117,/athletes/athlete=14176826
338,1:46.86,Lubert LEWIS,06 AUG 1978,USA,4,,Montréal (CAN),10 JUL 2001,1117,/athletes/athlete=14244047
338,1:46.86,Mouhssin CHEHIBI,28 JAN 1978,MAR,1h1,,Ottawa (CAN),19 JUL 2001,1117,/athletes/athlete=14211969
341,1:46.87,Mouhssin CHEHIBI,28 JAN 1978,MAR,6,,Beijing (CHN),01 SEP 2001,1117,/athletes/athlete=14211969
342,1:46.88,Jimmy LOMBA,30 JUN 1978,FRA,1h2,,Ottawa (CAN),19 JUL 2001,1117,/athletes/athlete=14186108
342,1:46.88,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,3,,Melbourne (AUS),09 SEP 2001,1117,/athletes/athlete=14177791
344,1:46.89,Trinity GRAY,19 APR 1978,USA,3,,"Crystal Palace, London (GBR)",22 JUL 2001,1117,/athletes/athlete=14239214
344,1:46.89,Khalid TIGHAZOUINE,18 JUN 1977,MAR,1h2,,Beijing (CHN),30 AUG 2001,1117,/athletes/athlete=14212499
346,1:46.90,Wilfred BUNGEI,24 JUL 1980,KEN,1,,La Spezia (ITA),26 MAY 2001,1116,/athletes/athlete=14207448
346,1:46.90,Zachary WHITMARSH,05 APR 1977,CAN,3,,Ottawa (CAN),21 JUL 2001,1116,/athletes/athlete=14173311
348,1:46.91,Osmar BARBOSA DOS SANTOS,20 OCT 1968,BRA,1,,Malles Venosta (ITA),14 JUL 2001,1116,/athletes/athlete=14176249
348,1:46.91,Glody DUBE,02 JUL 1978,BOT,6sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1116,/athletes/athlete=14176357
348,1:46.91,Derrick PETERSON,28 NOV 1977,USA,1sf2,,Beijing (CHN),31 AUG 2001,1116,/athletes/athlete=14248336
351,1:46.92,Kris MCCARTHY,15 OCT 1979,AUS,2,,Hobart (AUS),11 MAR 2001,1116,/athletes/athlete=14179207
351,1:46.92,Andrea GIOCONDI,17 JAN 1969,ITA,2,,Funchal (POR),30 JUN 2001,1116,/athletes/athlete=14200466
353,1:46.93,Isaiah NKUNA,05 MAR 1977,RSA,1,,Pretoria (RSA),23 MAR 2001,1115,/athletes/athlete=14220865
353,1:46.93,Tarik BOURROUAG,09 JUL 1976,GER,8,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1115,/athletes/athlete=14191641
353,1:46.93,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,6,,Rehlingen (GER),04 JUN 2001,1115,/athletes/athlete=14177791
353,1:46.93,Reyes ESTÉVEZ,02 AUG 1976,ESP,5,,Valencia (ESP),08 JUL 2001,1115,/athletes/athlete=14166649
353,1:46.93,Ramil ARITKULOV,01 MAR 1978,RUS,4,,Tula (RUS),15 JUL 2001,1115,/athletes/athlete=14221692
353,1:46.93,Nathan BRANNEN,08 SEP 1982,CAN,2h2,,Ottawa (CAN),19 JUL 2001,1115,/athletes/athlete=14174555
359,1:46.94,Mehdi BAALA,17 AUG 1978,FRA,2h1,,St-Etienne (FRA),30 JUN 2001,1115,/athletes/athlete=14183005
360,1:46.96,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Potchefstroom (RSA),12 FEB 2001,1114,/athletes/athlete=14220770
360,1:46.96,Michael ROTICH,14 JUL 1978,KEN,3,,Torino (ITA),09 JUN 2001,1114,/athletes/athlete=14209673
360,1:46.96,Moise JOSEPH,27 DEC 1981,HAI,2,,"Brunswick, ME (USA)",07 JUL 2001,1114,/athletes/athlete=14195812
363,1:46.98,René HERMS,17 JUL 1982,GER,1,,Grosseto (ITA),21 JUL 2001,1114,/athletes/athlete=14192509
364,1:46.99,Tom OMEY,24 APR 1975,BEL,9,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1114,/athletes/athlete=14177389
364,1:46.99,Rachid KHOUIA,09 NOV 1979,MAR,3h2,,Ottawa (CAN),19 JUL 2001,1114,/athletes/athlete=14175118
364,1:46.99,William YIAMPOY,17 MAY 1974,KEN,4,,Melbourne (AUS),09 SEP 2001,1114,/athletes/athlete=14210002
367,1:47.00,Philemon TANUI,20 NOV 1982,KEN,9,,Milano (ITA),06 JUN 2001,1113,/athletes/athlete=14209869
367,1:47.00,Stefan BEUMER,28 APR 1981,NED,2sf2,,Beijing (CHN),31 AUG 2001,1113,/athletes/athlete=14213682
369,1:47.01,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Roodeport (RSA),17 MAR 2001,1113,/athletes/athlete=14207448
369,1:47.01,Achraf TADILI,08 JUL 1980,CAN,5,,Montréal (CAN),10 JUL 2001,1113,/athletes/athlete=14173417
371,1:47.02,Francis MARWA,1976,KEN,2,,Nuoro (ITA),11 JUL 2001,1113,/athletes/athlete=14209032
371,1:47.02,Mouhssin CHEHIBI,28 JAN 1978,MAR,3sf2,,Beijing (CHN),31 AUG 2001,1113,/athletes/athlete=14211969
373,1:47.03,Sergio GALLARDO,22 MAR 1979,ESP,2,,Cáceres (ESP),20 JUN 2001,1112,/athletes/athlete=14166498
374,1:47.04,Mark RODGERS,24 JUL 1976,NZL,4sf2,,Beijing (CHN),31 AUG 2001,1112,/athletes/athlete=14215844
375,1:47.05,Johan BOTHA,10 JAN 1974,RSA,4,,Stellenbosch (RSA),30 MAR 2001,1112,/athletes/athlete=14219759
375,1:47.05,Jess STRUTZEL,04 JAN 1978,USA,6,,"Palo Alto, CA (USA)",09 JUN 2001,1112,/athletes/athlete=14252474
377,1:47.06,Werner BOTHA,31 JAN 1978,RSA,2,,Potchefstroom (RSA),12 FEB 2001,1111,/athletes/athlete=14219771
